empty,InChI,MonoisotopicMass,Identifier
,"InChI=1S/C9H9Cl3O2/c1-5(13)4-14-9-7(11)2-6(10)3-8(9)12/h2-3,5,13H,4H2,1H3/t5-/m1/s1",253.966813,81847540
,"InChI=1S/C9H9Cl3O2/c1-5(4-13)14-9-3-7(11)6(10)2-8(9)12/h2-3,5,13H,4H2,1H3/t5-/m1/s1",253.966813,71445532
,"InChI=1S/C9H9Cl3O2/c10-4-3-9(13)14-8-2-1-6(11)5-7(8)12/h1-2,5,9,13H,3-4H2",253.966813,70540582
,"InChI=1S/C9H9Cl3O2/c1-5(13)4-14-9-3-7(11)6(10)2-8(9)12/h2-3,5,13H,4H2,1H3",253.966813,65277662
,"InChI=1S/C9H9Cl3O2/c1-5(13)4-14-9-7(11)2-6(10)3-8(9)12/h2-3,5,13H,4H2,1H3",253.966813,61799053
,"InChI=1S/C9H9Cl3O2/c10-5-3-6(8(14)1-2-13)9(12)7(11)4-5/h3-4,8,13-14H,1-2H2",253.966813,57422174
,"InChI=1S/C9H9Cl3O2/c10-6-2-3-7(9(12)8(6)11)14-5-1-4-13/h2-3,13H,1,4-5H2",253.966813,53690720
,"InChI=1S/C9H9Cl3O2/c10-6-4-7(11)9(8(12)5-6)14-3-1-2-13/h4-5,13H,1-3H2",253.966813,43509905
,"InChI=1S/C9H9Cl3O2/c10-6-4-8(12)9(5-7(6)11)14-3-1-2-13/h4-5,13H,1-3H2",253.966813,43388617
,"InChI=1S/C9H9Cl3O2/c1-2-7(13)14-6-4-3-5(10)8(11)9(6)12/h3-4,7,13H,2H2,1H3",253.966813,19870037
,"InChI=1S/C9H9Cl3O2/c10-4-7(13)5-14-9-2-1-6(11)3-8(9)12/h1-3,7,13H,4-5H2",253.966813,12468709
,"InChI=1S/C9H9Cl3O2/c1-5(4-13)14-9-3-7(11)6(10)2-8(9)12/h2-3,5,13H,4H2,1H3",253.966813,517034
,"InChI=1S/C9H9Cl3O2/c1-14-7-3-2-6(5-13)8(4-7)9(10,11)12/h2-4,13H,5H2,1H3",253.966813,54006996
,"InChI=1S/C9H9Cl3O2/c1-4-7(10)5(2-13)9(12)6(3-14)8(4)11/h13-14H,2-3H2,1H3",253.966813,85914454
,"InChI=1S/C9H9Cl3O2/c1-5-3-6(14-8(11)13)7(10)9(2,12)4-5/h3-4,7H,1-2H3",253.966813,21386909
,"InChI=1S/C9H9Cl3O2/c10-9(11,12)8(14,6-13)7-4-2-1-3-5-7/h1-5,13-14H,6H2",253.966813,90860075
,"InChI=1S/C9H9Cl3O2/c10-9(11,12)8(13)14-6-7-4-2-1-3-5-7/h1-5,8,13H,6H2",253.966813,85797223
,"InChI=1S/C9H9Cl3O2/c1-6-3-2-4-7(5-6)14-8(13)9(10,11)12/h2-5,8,13H,1H3",253.966813,71374232
,"InChI=1S/C9H9Cl3O2/c1-8(10,9(11,12)13)14-7-5-3-2-4-6-7/h2-6,13H,1H3",253.966813,70552192
,"InChI=1S/C9H9Cl3O2/c1-8(10,11)9(12,13)14-7-5-3-2-4-6-7/h2-6,13H,1H3",253.966813,70359479
,"InChI=1S/C9H9Cl3O2/c10-9(11,12)8(13,14)6-7-4-2-1-3-5-7/h1-5,13-14H,6H2",253.966813,68506898
,"InChI=1S/C9H9Cl3O2/c1-2-6-5-7(13)3-4-8(6)14-9(10,11)12/h3-5,13H,2H2,1H3",253.966813,68486871
,"InChI=1S/C9H9Cl3O2/c10-9(11,12)6-14-5-7-1-3-8(13)4-2-7/h1-4,13H,5-6H2",253.966813,68114055
,"InChI=1S/C9H9Cl3O2/c10-8(9(11,12)13)6-14-7-4-2-1-3-5-7/h1-5,8,13H,6H2",253.966813,54357233
,"InChI=1S/C9H9Cl3O2/c10-7(8(11)12)9(13)14-6-4-2-1-3-5-6/h1-5,7-9,13H",253.966813,20536714
,"InChI=1S/C9H9Cl3O2/c10-9(11,12)8(13)6-14-7-4-2-1-3-5-7/h1-5,8,13H,6H2",253.966813,20536713
,"InChI=1S/C9H9Cl3O2/c10-4-7(13)5-14-9-3-6(11)1-2-8(9)12/h1-3,7,13H,4-5H2",253.966813,20311864
,"InChI=1S/C9H9Cl3O2/c1-14-7-4-2-3-6(5-7)8(13)9(10,11)12/h2-5,8,13H,1H3",253.966813,13434525
,"InChI=1S/C9H9Cl3O2/c1-14-7-4-2-6(3-5-7)8(13)9(10,11)12/h2-5,8,13H,1H3",253.966813,5177931
,"InChI=1S/C9H9Cl3O2/c1-14-7-4-2-6(3-5-7)8(13)9(10,11)12/h2-5,8,13H,1H3/t8-/m1/s1",253.966813,690030
,"InChI=1S/C9H9Cl3O2/c1-14-7-4-2-6(3-5-7)8(13)9(10,11)12/h2-5,8,13H,1H3/t8-/m0/s1",253.966813,690029
