smiles,m/z,I
O=C1OC(CC)C(O)(C)C(O)C(C(=O)C(C)CC(OC)(C)C(OC2OC(C)CC(NC)C2O)C(C)C(OC3OC(C)C(O)C(OC)(C)C3)C1C)C,"[123.0794 126.091  127.0746 137.0946 144.1011 170.1168 183.1004 193.1213
 195.1377 251.164  289.1793 307.1901 308.1916 365.2313 383.2438]","[  3.126354   0.525103   3.254597   0.831846 100.         2.890664
   0.97222    1.135123   0.596156   1.00688    2.776285   2.320503
   0.52337    1.197511   0.554564]"
OC1=CC=C(C=C1)C(CN(C)C)C2(O)CCCCC2,[133.064  201.1268 246.1851 247.1879 248.1903 264.196  265.1992 266.2019],"[9.8490000e-02 4.8266300e-01 1.9706658e+01 2.7942990e+00 2.2803700e-01
 1.0000000e+02 1.2654329e+01 1.0565840e+00]"
OC1=CC=C(C=C1)C(CN(C)C)C2(O)CCCCC2,"[121.0639 131.048  133.0638 134.0673 145.0634 146.0668 147.0791 152.1427
 159.079  160.0827 163.0984 164.1056 173.0943 201.1266 202.1299 246.1848
 247.1879 248.1903 264.1955 265.1992]","[  0.950617   0.580247  23.983539   2.084362   5.569959   0.664609
   0.514403   0.748971   7.969136   1.259259   0.763374   1.90535
   1.584362  41.479424   5.185185 100.        14.806584   1.296296
  39.917695   5.718107]"
OC1=CC=C(C=C1)C(CN(C)C)C2(O)CCCCC2,"[107.0487 115.0539 117.0696 119.0483 121.0645 127.0522 131.0481 131.0845
 133.064  134.0673 135.0698 141.0681 144.0556 145.0637 146.0668 147.0795
 149.0825 150.0867 152.1431 155.0585 155.084  157.0638 159.0794 160.0827
 163.0981 164.1057 165.108  169.0749 173.0951 183.1155 201.1265 202.1299
 246.1847 247.1879 264.1939]","[  0.647494   1.82917    0.615119   0.787784   5.735715   0.847138
   4.586413   2.428101 100.        10.904872   0.755409   1.76442
   2.406518  28.295473   3.38855    3.161927   3.87417    0.83095
   1.456861   1.332758   0.647494   0.669077  41.623051   5.778881
   5.897588   7.721362   0.938866   0.960449   2.897534   1.543193
  22.667674   3.037824   4.856202   0.868721   0.636702]"
OC1=CC=C(C=C1)C(CN(C)C)C2(O)CCCCC2,"[107.0484 115.054  116.0615 117.0692 119.0487 121.0639 127.0533 128.0619
 129.0687 131.0487 131.085  132.0532 132.0869 133.064  134.0671 135.0742
 141.0686 142.0724 144.0557 145.0637 146.0682 147.0788 148.0767 149.0823
 150.0868 152.1427 155.0595 155.0853 156.0639 157.0627 158.0701 159.0795
 160.0832 162.0909 163.0979 164.1057 165.108  168.0923 169.0748 170.0789
 172.0869 173.0951 183.115  201.1258]","[  1.474284   6.18194    1.465907   1.750712   1.072206   6.77668
   2.144413   0.695259   2.52136    8.460379   7.22064    1.524543
   1.122466 100.         9.968169   0.871168   7.941029   0.96331
  14.206735  32.534763   4.163176   5.09298    0.980064  10.269727
   0.862791   1.373764   4.716033   1.960127   0.644999   2.085777
   1.449154  36.203719   4.57363    0.762272   7.815379   4.908695
   0.96331    0.678506   4.037527   0.862791   0.980064   1.951751
   1.105713   1.516167]"
OC1=CC=C(C=C1)C(CN(C)C)C2(O)CCCCC2,"[107.0502 115.0539 116.0608 117.0694 120.0561 121.0638 127.0538 128.0614
 129.0691 131.0484 131.0844 132.0556 133.0639 134.0674 141.0692 142.0721
 144.056  145.0635 146.0677 147.0791 148.0759 149.0822 150.0875 153.0694
 155.0595 157.063  158.0713 159.0795 160.0843 162.0908 163.0982 164.1048
 169.0742]","[  2.116153  31.460146   7.900306   5.501999   2.986127  12.250176
  15.87115    4.326358   6.630614  23.912532  11.145074   9.475664
 100.        12.626381  21.725841   3.00964   45.003527  46.931578
   4.584999   6.207383   3.738538  19.256995   2.680461   3.244768
  15.400893   6.395486   2.468846  30.260992   4.726076   2.492358
   3.667999   2.868563   7.759229]"
ClC1=NC(=N)NC(=N)N1,[146.0241],[100.]
N=C1N=C(O)NC(=NC(C)C)N1,[128.0561 129.0584 170.1032 171.1049],[100.         4.874578  37.606724   2.753326]
N=C1N=C(O)NC(=NC(C)C)N1,[128.056  129.0587 170.103 ],[100.         6.219402   5.621034]
N=C1N=C(O)NC(=NC(C)C)N1,[128.0564],[100.]
N=C(O)CC1=CC=C(OCC(O)CN)C=C1,"[145.064  162.0891 178.0855 180.1005 181.1039 190.0854 191.0891 208.0955
 225.1228 226.1263]","[  0.69623    1.003575   1.561814   3.782224   0.514332   5.645111
   0.865584   5.450668 100.         9.809948]"
N=C(O)CC1=CC=C(OCC(O)CN)C=C1,"[121.0639 133.0641 134.067  145.0636 146.0675 147.0423 152.0693 162.0906
 163.0733 163.0947 164.0693 165.0548 173.0584 178.0852 179.0884 180.1011
 182.0792 190.0854 191.0899 208.0959 209.1    225.1228]","[  7.237386  27.998346   4.135649  80.231596  11.124897   7.278743
   4.218362  22.828784   3.308519   3.143093  15.177833   8.02316
  14.722911  68.238213   8.436725  23.076923   7.857734 100.
   5.707196  50.330852   4.71464   54.466501]"
N=C(O)CC1=CC=C(OCC(O)CN)C=C1,"[115.0538 116.0489 117.0695 119.0485 121.0639 131.0481 133.0637 134.0593
 145.0636 146.0675 147.043  162.0659 162.0899 164.07   173.0618 178.085
 190.0856]","[  6.716418   4.776119   6.41791    5.273632   8.457711   3.880597
  50.248756  12.38806  100.        14.726368  11.442786   8.855721
   8.159204  10.         4.029851  16.169154   7.61194 ]"
N=C(O)CC1=CC=C(OCC(O)CN)C=C1,"[115.0548 117.0332 117.0582 117.0701 119.0491 133.0636 134.0606 144.0552
 145.0639 146.0672]","[ 32.678822  14.30575   11.079944  14.86676   12.622721  65.217391
  14.30575   12.342216 100.        11.500701]"
N=C(O)CC1=CC=C(OCC(O)CN)C=C1,[115.0539 133.0645 145.0632],[100.        45.228216  68.879668]
O=C(O)CC1=CC=C(OCC(O)CNC(C)C)C=C1,[145.0636 191.0694 226.1065 250.1429 268.154  269.1576 270.1604],"[  0.14523    0.545051   0.520436   0.245449 100.        13.04571
   1.237442]"
O=C(O)CC1=CC=C(OCC(O)CNC(C)C)C=C1,"[116.1064 145.064  146.0675 165.0536 179.0694 191.0696 192.0728 208.0955
 226.1069 250.1431 268.154  269.1576 270.1604]","[  1.519803   9.481153   0.979442   4.203991   0.524634  23.768306
   2.474083   0.682527  12.327009   3.001233 100.        12.168487
   1.209677]"
O=C(O)CC1=CC=C(OCC(O)CNC(C)C)C=C1,"[115.0534 116.106  117.0697 119.0484 123.0434 133.0639 135.0444 137.0588
 138.0626 145.0641 146.0671 147.044  153.0539 162.0907 163.049  163.0739
 164.0521 165.0536 166.0573 179.0696 191.0694 192.0731 208.0964 226.1064
 227.1103 250.1449 268.1534]","[  1.635117   2.265135   1.561859   2.575749   1.837309   2.411651
   0.817558   5.54416    0.521596 100.         8.618062   0.577272
   1.116451   2.106898   6.484792   3.780109   0.641739  27.852664
   2.833617   2.12741   36.209928   3.832855   0.521596   6.47307
   0.744301   0.887886   9.251011]"
O=C(O)CC1=CC=C(OCC(O)CNC(C)C)C=C1,"[115.0535 116.0575 116.1064 117.0691 118.0729 119.0488 120.053  121.0651
 123.0437 127.0525 131.0477 133.0641 135.043  137.0586 138.0627 144.055
 145.0641 146.0671 147.0698 153.0536 155.0582 162.0891 163.049  163.0738
 164.053  165.0535 166.0573 191.0698 192.0721]","[  7.595527   1.062442   0.605778   5.680336   0.82945    4.678472
   0.517241   0.894688   3.159366   0.689655   1.178938   2.884436
   4.235788   7.152842   0.908667   1.863933 100.         8.59739
   0.880708   2.814539   1.197577   0.917987  18.122088   2.129543
   1.150979  11.766076   1.216216   3.667288   0.787512]"
O=C(O)C(=O)N(C=1C(=CC=CC1CC)CC)COC,[188.1069 223.0361 234.1131],[ 33.333333  43.262411 100.      ]
O=C(O)C(=O)N(C=1C(=CC=CC1CC)CC)COC,[160.1131 163.0005 188.1052 234.1131],[ 77.21519   53.164557 100.        38.607595]
O=C(O)C(=O)N(C=1C(=CC=CC1CC)CC)COC,[188.1043],[100.]
O=C(O)C(=O)N(C=1C(=CC=CC1CC)C)COCC,[174.0937 205.0226 220.0961],[ 27.622378  36.013986 100.      ]
O=C(O)C(=O)N(C=1C(=CC=CC1CC)C)COCC,[146.096  148.1106 174.0893],[ 37.065637  30.501931 100.      ]
O=C(O)C(=O)N(C=1C(=CC=CC1CC)C)COCC,[146.0952 174.0905],[100.        92.485549]
O=C(O)C(=O)N(C=1C(=CC=CC1CC)C)COCC,[133.0861],[100.]
O=C(O)C(=O)N(C=1C(=CC=CC1CC)C)COCC,[131.071],[100.]
O=C(N(C=1C(=CC=CC1CC)C)COCC)CS(=O)(=O)O,[148.1127 270.0801],[ 16.771891 100.      ]
O=C(N(C=1C(=CC=CC1CC)C)COCC)CS(=O)(=O)O,[120.0803 148.1127 188.1064 242.047  270.0793],[ 13.676213 100.        21.741672   4.850964  60.140269]
O=C(N(C=1C(=CC=CC1CC)C)COCC)CS(=O)(=O)O,[120.0803 133.088  148.1106],[ 44.024515  74.361593 100.      ]
N#CC=1C=CC=CC1OC2=NC=NC(OC=3C=CC=CC3C(=COC)C(=O)O)=C2,"[149.0225 344.104  346.1181 372.0981 373.1009 374.1024 390.1086 391.1116
 392.1142]","[  0.651939   0.57131    1.278537 100.        22.739524   2.713723
  45.783133  10.5462     1.262411]"
N#CC=1C=CC=CC1OC2=NC=NC(OC=3C=CC=CC3C(=COC)C(=O)O)=C2,"[149.0219 316.1075 329.0795 344.1026 345.1051 346.1172 372.0981 373.1011
 374.103 ]","[  0.885363   0.864224   1.150226   9.940437   2.31786    1.866474
 100.        22.195004   2.393713]"
N#CC=1C=CC=CC1OC2=NC=NC(OC=3C=CC=CC3C(=COC)C(=O)O)=C2,"[129.0426 134.0588 143.059  145.0268 149.0219 156.0436 162.0543 169.0384
 171.0545 172.0383 173.0446 177.0534 182.0699 183.0546 186.0544 187.0492
 197.0701 199.0489 201.0407 201.0647 202.0481 210.0422 210.065  211.0481
 211.0703 216.0643 217.0689 272.081  273.0823 287.0813 288.0737 288.0841
 288.1127 289.0954 301.0857 302.0873 303.0749 304.0794 312.0766 314.0926
 315.0748 315.0984 316.1071 317.0921 317.1085 318.0952 328.0715 328.1085
 329.0794 330.0818 340.0727 344.1032 345.1058 346.1128 347.1203 372.098
 373.1007 374.1043]","[  0.575192   3.269966   2.332403   1.449484   1.696816   0.790889
   1.075609   0.905927   1.426476   3.546058   0.595324   1.233787
   0.534929   1.512755   0.514797   0.931811   0.615455   0.503293
   1.377585   3.307354   0.632711   1.182019   3.129044   0.675851
   0.511921   6.557188   0.865664   0.532053   0.649967   2.093699
   0.603952   0.664347   0.730494   1.193523   3.770383   0.963447
   2.116706   0.672975   0.721866   1.213655   0.537804   1.57315
   7.811107   1.636421   2.125334   0.572316   1.711196   0.621207
  50.041701  10.681315   0.779385 100.        22.107503   3.094533
   0.624083  61.223433  13.847747   2.076443]"
N#CC=1C=CC=CC1OC2=NC=NC(OC=3C=CC=CC3C(=COC)C(=O)O)=C2,"[120.0434 129.0432 130.0268 133.051  134.0589 135.0629 141.0431 143.0353
 143.0594 144.0434 145.0271 145.0507 149.0217 155.059  156.0432 157.0267
 157.047  161.0698 162.054  169.0381 170.0451 171.0305 171.054  172.0378
 177.0532 182.0459 182.0703 183.0541 184.0392 184.0579 186.0544 187.0495
 197.0701 199.0495 200.0333 201.0408 201.065  202.0462 210.0651 211.0472
 216.0647 217.068  242.0313 245.0707 246.078  258.0785 259.0847 261.076
 262.0856 272.08   273.0648 273.0883 274.0712 275.0793 284.0793 287.0808
 288.0663 288.0851 288.1136 289.0951 301.0836 302.0874 303.0764 312.0782
 314.0926 315.1011 316.1072 317.1104 329.0791 330.0821 344.1024 345.1057
 346.1138 372.098  373.1009]","[  0.642996   1.931809   0.555571   1.548267   6.184608   0.626075
   1.717477   0.518909   4.032827   0.558391   2.038975   2.038975
   1.709016   0.89681    5.420345   0.592233   0.583773   0.555571
   0.53583    3.697228   1.018077   1.023718   3.119095   8.302547
   1.988212   0.908091   1.173186  16.441524   0.645816   2.603006
   0.874249   1.804901   0.682478   3.454694   4.563016   8.655066
   2.749655   1.359316   2.216645   2.222285   7.605967   0.995516
   1.548267   0.685299   0.566852   0.518909   0.795285   0.578132
   0.569672   3.38701    3.440593   4.540455   1.285992   0.930652
   0.53583    1.906427   0.798105   0.682478   1.057559   0.984235
  15.567275   3.722609   0.758623   1.091401   0.789644   1.142164
   1.740038   0.566852 100.        20.759187  26.216193   6.241011
   0.620435   2.436617   0.730421]"
N#CC=1C=CC=CC1OC2=NC=NC(OC=3C=CC=CC3C(=COC)C(=O)O)=C2,"[114.0319 115.0398 116.0488 117.055  118.0413 119.0362 120.0433 121.0654
 127.0404 128.0483 129.0336 129.0434 130.028  130.0467 130.0644 131.0341
 131.047  131.0577 132.0439 133.0275 133.0507 134.0346 134.0589 135.0617
 140.0485 141.0435 142.0469 143.0356 143.0587 144.0428 144.0638 145.0272
 145.0508 146.0223 146.0556 147.0418 147.0579 148.0511 149.0222 154.0274
 154.0511 155.0344 155.0595 156.0431 157.0268 157.0469 158.0345 158.049
 159.0318 159.0546 160.0386 161.0442 161.0698 162.0301 168.043  169.0382
 170.0236 170.0459 171.0307 171.0541 172.0381 173.0427 174.0471 175.0369
 177.0527 181.0394 182.0466 182.0709 183.0542 184.0391 184.0576 185.022
 185.0329 185.044  186.0557 187.0495 190.0494 195.0426 195.0523 197.0338
 197.0691 198.0399 198.0786 201.0403 201.0658 202.043  204.0805 205.0736
 206.0799 207.0528 210.0656 211.0487 212.0534 216.0642 217.0646 218.0832
 219.0889 225.0668 227.044  229.0772 230.0638 231.0906 232.0804 233.0693
 234.071  234.0919 242.0313 243.0344 244.0864 245.0702 245.0893 246.0768
 247.0825 256.0869 257.0714 258.0764 259.0838 260.0748 260.0895 261.0769
 262.0818 271.085  273.0875 274.0717 275.0806 276.085  284.0788 285.0645
 285.0865 286.0966 287.0799 288.0651 288.0868 288.1157 289.0927 299.0798
 301.0833 302.087  303.074  303.0915 312.0787 313.085  314.0923 315.0976
 316.1107 329.0782 330.0817 344.1046 345.1074]","[  2.708313   1.205891   3.311258   1.176238   2.303054   1.887911
   5.564891   0.978551   3.271721   2.807156   2.925769  11.475734
   3.439755   1.739646   0.90936    0.810517   1.640803   1.097163
   3.271721   1.808837  16.625482   1.690224  18.167441   1.709993
   1.383809   6.227142   1.482653   4.596224   9.637244   8.579618
   1.413462   4.13166   14.628843   4.121775   2.174558   1.047741
   0.948898   1.383809   6.503904   1.245428   1.591381   2.471088
   7.610952  72.79826    2.500741   7.897598   0.859939   1.284966
   1.136701   2.589701   0.929129   0.899476   1.364041   2.737966
   1.670456  11.416428   1.087279   6.177721   3.489177  14.144509
 100.        13.907285   1.383809   1.808837   4.003163   1.284966
   8.184244   3.242068  85.687457   2.480973  11.554809   0.899476
   1.621034   1.74953    2.589701   3.449639   1.008204   0.751211
   0.958782   2.154789   0.90936    2.154789   1.166354  26.104576
   3.429871   3.805476   1.146585   0.84017    0.741326   1.235544
   2.550163  10.596026   2.154789   6.157952   0.869823   2.283286
   0.939014   0.810517   2.826925   1.739646   0.929129   0.939014
   1.383809   1.976871   0.820401   0.929129   6.078877   1.789068
   5.841653   4.220619   2.767619   4.546802   2.184442   1.265197
   1.798952   1.927449   2.095483   0.978551   0.761095   1.878027
   1.116932   1.581496  14.312543  11.090244   6.760897   2.006524
   2.223979   1.057626   0.859939   0.99832    2.510626   1.759415
   1.324503   0.99832    1.275082   1.008204  42.235841   7.255115
   0.99832    1.027973   2.233864   0.800633   0.948898   0.869823
   0.99832   89.957497  18.463972   3.785707   1.265197]"
O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)COC(=O)C)C4(C)CC(O)C32F)C,"[279.1727 291.1733 309.1851 319.1719 327.1952 337.1777 355.192  379.1918
 397.2008 398.2019 415.2105 416.2151 417.212  435.2163]","[ 12.401575   9.251969  24.015748  17.913386  10.137795  24.507874
  22.933071   7.775591  58.562992  14.76378  100.        38.976378
   7.57874   74.901575]"
O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)COC(=O)C)C4(C)CC(O)C32F)C,"[133.0999 135.0795 147.0803 153.0896 159.0802 161.0939 167.1057 171.0787
 173.0951 177.0907 185.0965 187.0735 187.112  211.1095 215.1056 225.1263
 227.142  228.1456 235.1067 237.1254 239.1454 253.1626 263.1425 275.1413
 276.1484 277.1608 278.1657 279.1732 280.1752 281.1919 291.1745 292.1748
 295.1676 301.1584 307.164  309.1842 310.1913 319.169  320.1742 327.1946
 337.179  338.1831 353.178  355.1903 356.1906 379.1917 397.2007 398.2049
 415.2116]","[ 11.709287  14.804845  43.472409  13.997308  14.804845  12.247645
  10.228802  13.728129  16.016151  19.784657  18.707941  15.208614
  12.113055  17.765814  15.074024  11.574697  20.861373  10.497981
  11.170929  47.779273  15.881561  13.189771  11.305518  12.920592
  14.670256  35.397039  11.709287  82.637954  22.207268  15.343203
  59.623149  14.266487  15.343203  35.26245   12.651413  60.296097
  12.113055 100.        21.938089  20.726783  75.100942  18.707941
  15.343203  49.798116  14.266487  31.224764  76.850606  25.572005
  20.457604]"
O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)COC(=O)C)C4(C)CC(O)C32F)C,"[121.0636 123.0797 133.0626 135.0802 147.0797 148.0819 149.0939 151.074
 153.0901 159.0799 161.0959 167.1039 171.0795 173.0948 177.0887 185.0964
 187.0756 187.1113 197.0945 199.1113 211.1109 212.1149 213.126  215.106
 221.0953 222.1013 223.1108 225.1265 227.1408 235.1109 237.1268 238.1289
 239.1051 239.1422 241.124  245.1404 249.1295 251.1416 253.1222 253.1589
 255.1369 261.1261 262.1335 263.1413 267.1389 275.143  276.1488 277.1568
 278.1649 279.1734 280.1774 281.1834 291.1741 292.177  295.1693 301.1564
 307.1684 309.1841 311.1641 319.1695 320.1719 337.1779 338.1855 397.1988]","[ 16.487936  11.260054  10.991957  22.386059 100.        11.394102
  25.335121  11.930295  20.911528  32.841823  32.439678  12.734584
  38.069705  39.410188  13.941019  38.203753  16.487936  13.270777
  12.064343  14.075067  35.656836  13.136729  19.705094  13.404826
  11.52815   13.136729  27.211796  19.302949  27.479893  20.643432
  66.487936  18.900804  10.053619  28.284182  10.991957  11.260054
  10.723861  12.868633  16.621984  17.426273  18.766756  10.589812
  10.321716  37.935657  11.52815   14.879357  21.313673  37.131367
  20.107239  79.624665  11.260054  11.126005  75.067024  21.045576
  20.107239  29.088472  13.538874  20.77748   10.321716  39.276139
  16.085791  51.340483  14.075067  10.991957]"
O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)COC(=O)C)C4(C)CC(O)C32F)C,"[119.0853 121.0643 123.0809 125.0965 128.0605 129.0676 131.0854 133.0642
 133.1008 135.0796 141.0686 143.0849 145.0628 145.099  147.0791 148.0833
 149.0957 153.0902 157.1005 158.0697 159.0793 161.0945 163.072  167.104
 169.0631 171.0791 172.0822 173.0953 174.0997 183.1148 185.0942 186.0972
 187.0749 187.1094 193.0992 196.0871 197.0946 198.0998 199.1094 201.1267
 204.0937 205.1001 208.0873 209.0954 209.1316 210.104  211.1104 212.1169
 213.1253 215.1059 220.1197 221.0949 222.1018 223.1087 224.1161 225.1275
 226.1288 227.1412 235.1103 236.114  237.1258 238.1294 239.1031 239.1429
 240.1438 248.118  249.1257 250.1313 251.1428 252.1474 253.1642 255.1352
 261.1269 262.1347 263.1413 264.1472 265.1568 275.1417 276.1524 277.1587
 278.166  279.1716 280.1803 286.1347 291.1747 292.1797 301.1607 319.1702]","[ 13.085502  26.245353   8.401487   6.319703   6.022305   6.394052
  13.159851   9.516729  13.828996  27.434944   6.988848  12.639405
  12.788104   7.063197 100.        10.855019  15.390335   9.888476
   6.394052   7.732342  36.282528  20.223048   6.394052  11.598513
   7.95539   51.226766  11.003717  38.066914   6.840149   6.022305
  31.078067   6.69145   19.628253   8.847584  12.639405   8.104089
  17.918216  10.70632    7.95539    6.6171     5.576208   5.576208
   5.576208  16.951673   7.063197   8.327138  30.334572  11.821561
  22.67658    8.624535   5.799257  12.416357  20.074349  17.39777
  11.003717  17.026022   6.171004  18.66171   21.040892   9.144981
  46.022305   8.624535   5.650558  17.695167   5.576208   9.29368
  18.959108   9.144981   6.988848   6.840149  10.334572   5.873606
   9.442379  16.951673  21.858736  10.260223  12.267658  11.078067
  14.275093  18.884758  17.39777   28.327138   5.724907   8.401487
  26.542751   9.442379  12.267658  13.457249]"
O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)COC(=O)C)C4(C)CC(O)C32F)C,"[119.0845 121.0651 121.0998 128.0612 129.0664 131.0847 132.0562 133.0635
 133.1    135.0791 141.0708 143.0841 144.056  145.064  145.1016 147.0795
 148.0828 149.0963 155.0846 157.1022 158.0718 159.0792 160.0834 161.0951
 165.0685 167.084  169.063  170.0711 171.0799 172.0844 173.0952 178.0742
 179.0839 181.0995 182.0723 183.0779 185.0948 187.0743 187.1107 193.1008
 194.1061 195.0797 195.1147 196.0861 197.0955 198.1024 204.096  205.1008
 208.0869 209.095  209.1316 210.1    211.1106 212.1184 215.1043 219.1134
 221.096  222.104  223.1111 224.1181 225.1241 227.1431 233.0954 234.1043
 235.113  236.1185 237.1248 238.1344 239.1426 244.1278 245.0968 246.1008
 247.1099 248.1196 249.1258 250.1436 261.1283 262.134  263.142  276.1518
 277.1591 278.1644 279.1741 286.1334 291.1683]","[ 17.258883  34.923858   8.527919  15.126904  13.096447  13.604061
   9.64467   12.284264  11.370558  20.507614   9.543147  18.883249
   8.020305  24.365482  10.558376 100.        11.979695  13.908629
  12.893401  11.269036  11.167513  59.187817  11.370558  16.548223
  10.964467   8.629442  12.791878   7.715736  49.035533   9.847716
  43.350254   8.629442  12.081218  10.862944   8.527919   7.715736
  27.106599   9.64467    7.817259   8.020305   8.121827  10.659898
  10.35533   11.878173  22.335025  10.558376   8.527919   9.949239
  10.456853  22.84264   10.050761  16.243655  30.761421  16.345178
   7.817259  15.634518  18.071066  23.756345  22.639594  11.77665
  11.77665    7.715736  12.994924  12.588832  24.873096  11.167513
  23.451777   8.121827  10.761421   8.527919   9.543147   8.832487
  11.979695  18.274112  14.213198   8.629442  15.634518  27.106599
  31.167513  13.705584  10.964467  11.573604   8.22335   11.878173
   8.527919]"
ClC=1C(O)=NN=CC1N,[116.997  146.0106 147.0123 148.0074],[  9.958071 100.         9.27673   36.530398]
ClC=1C(O)=NN=CC1N,[116.9975 118.9921 146.0106 147.0123 148.0074],[  3.217276   4.4513   100.         7.800793  30.718378]
O=C1C(Cl)=C(N)C=NN1C,[160.0279 161.0305 162.0249],[100.         3.479779  26.499931]
O=C1C(Cl)=C(N)C=NN1C,[116.9968 124.0498 130.0044 160.0263 161.029  162.0283],[  1.801084   0.556909   2.232702 100.         3.647779  22.268178]
O=C1C(Cl)=C(N)C=NN1C,"[115.9885 116.9969 124.0494 125.0536 130.0046 131.0013 131.0097 132.0021
 145.0026 146.0082 146.9998 158.0103 160.0263 161.029  162.0283]","[  0.68901   13.642395   3.472269   0.602246  25.095271   1.859476
   5.21606    7.698197  11.660429   0.571623   2.740728   0.944199
 100.         4.341613  25.592038]"
O=C1C(Cl)=C(N)C=NN1C,"[115.9907 116.997  117.9995 119.0012 124.0488 125.0571 128.9841 130.0043
 131.0096 132.0017 145.0024 146.0062 147.0002 158.0109 160.026  161.029
 162.0283]","[  2.741968  52.649887   3.233067  17.02476    8.062206   2.701044
   3.785554 100.        11.847759  37.384899  35.256804   5.217925
  10.456313   2.394107  84.018825   4.01064   23.961531]"
O=C1C(Cl)=C(N)C=NN1C,[116.997  117.9995 119.0012 130.0043 131.0096 132.0017 145.0018 160.0258],"[ 34.158839   3.757472  14.859095 100.         8.027327  36.208369
  13.578138  26.814688]"
N=C(O)N1C=2C=CC=CC2C3OC3C=4C=CC=CC41,"[180.08   181.0829 208.0751 209.0785 210.0911 211.0943 212.0974 236.0705
 237.0734 253.0971]","[ 19.736195   3.407762   4.043538   0.781581 100.        12.017022
   0.929081  32.192327   5.267619  94.610311]"
N=C(O)N1C=2C=CC=CC2C3OC3C=4C=CC=CC41,"[167.0715 180.08   181.0829 182.0953 183.0987 192.0795 208.075  209.0781
 210.0908 211.0943 212.0974 236.07   237.0734]","[  0.533519 100.        16.255724  23.439123   2.763166   0.80111
   4.448489   0.659836  87.548719   9.487838   0.619946   4.178405
   0.775348]"
N=C(O)N1C=2C=CC=CC2C3OC3C=4C=CC=CC41,"[165.0685 167.0718 168.0756 179.0716 180.0802 181.0829 182.0958 183.0988
 192.0799 208.0748 210.0911 211.0943]","[  0.830581   3.28201    0.525638   0.6042   100.        14.502866
  31.094848   3.015831   0.535975   0.661571  13.075321   1.657027]"
N=C(O)N1C=2C=CC=CC2C3OC3C=4C=CC=CC41,[153.0674 167.0722 168.0754 180.0801 181.0829 182.0953 183.0988],"[  0.580748   7.242445   0.898578 100.        10.55202    8.21048
   0.860759]"
N=C(O)N1C=2C=CC=CC2C3OC3C=4C=CC=CC41,[128.0485 151.0535 152.0611 154.065  167.072  168.0753 180.0801 181.0829],"[  0.63346    0.522522   6.308614   0.523759  10.248352   1.346926
 100.         9.048656]"
N=C(O)N1C=2C=CC=CC2C(O)C(O)C=3C=CC=CC31,"[180.0798 181.0827 210.0906 211.0948 236.0696 237.074  253.0956 254.0809
 255.0854 271.1068]","[  5.880488   1.775242  35.869393   5.94389   15.422412   2.884768
 100.        52.496434   8.860358   9.969884]"
N=C(O)N1C=2C=CC=CC2C(O)C(O)C=3C=CC=CC31,"[180.0797 181.0837 182.0958 183.1    192.0801 208.0754 209.0785 210.0906
 211.0939 212.0969 236.0702 237.0735 253.0956 254.0804 255.0862 256.0822]","[100.        21.207013  18.644639   3.186109   1.534053  10.080917
   2.022927  98.516521  17.599461   1.972353  12.356709   2.764666
   2.494943  43.088334   5.967633   1.264329]"
N=C(O)N1C=2C=CC=CC2C(O)C(O)C=3C=CC=CC31,"[152.0612 165.0684 167.0716 180.0796 181.084  182.095  183.0978 192.0817
 208.0767 209.0785 210.0902 211.0939]","[  1.178155   0.880863   4.778683 100.        18.38802   34.364677
   5.164061   1.772737   1.706673   0.638626  31.523893   4.822726]"
N=C(O)N1C=2C=CC=CC2C(O)C(O)C=3C=CC=CC31,"[152.0609 165.0684 166.0711 167.0723 168.0756 178.0628 179.0712 180.0799
 181.0838 182.0953 183.0986 193.0875 210.0905]","[  1.695652   1.756522   0.686957   8.478261   1.886957   1.130435
   3.313043 100.        15.443478  17.295652   2.347826   1.652174
   3.26087 ]"
N=C(O)N1C=2C=CC=CC2C(O)C(O)C=3C=CC=CC31,"[128.0475 151.0534 152.0607 153.0669 165.0693 166.0629 167.0719 168.0757
 169.0638 178.0645 179.0716 180.0798 181.083  182.095  183.0978 191.0706
 192.0796 193.0892]","[  0.875704   0.723796   8.024305   2.636047   2.546689   1.483335
  14.627826   2.519882   1.465463   3.109642   7.791976 100.
  16.754535   6.523099   1.07229    0.804218   0.902511   1.519078]"
O=C(O)C(=O)N(C1=C(SC=C1C)C)C(C)COC,"[168.0856 196.0781 200.1086 226.0898 240.0689 241.0718 242.0653 272.0953
 273.0984 274.0944]","[  0.551398   2.067743   2.259748   3.446239 100.        12.465538
   3.52501   34.152225   5.504135   1.979126]"
